2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 15:19:59.4469 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 15:20:09.5838 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:20:09.5838 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:20:09.5838 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:20:09.5838 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:20:09.5853 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:20:09.5853 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:20:09.5853 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:20:09.5853 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:20:09.5853 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031DetailFacade Confirm Begin
2018-01-18 15:20:09.7013 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031DetailFacade Confirm End
2018-01-18 15:35:35.1688 DESKTOP-2Q89F24 11  ::1 FacadeBase Login Begin
2018-01-18 15:35:35.2423 DESKTOP-2Q89F24 11  ::1 FacadeBase Login End
2018-01-18 15:35:35.3358 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:35:35.3508 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:35:35.3508 DESKTOP-2Q89F24 7 SRS1 ::1 MenuFacade Init Begin
2018-01-18 15:35:35.4023 DESKTOP-2Q89F24 7 SRS1 ::1 MenuFacade Init End
2018-01-18 15:35:41.5631 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:35:41.5631 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:35:41.5631 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission End
